Approved symbol	Approved name	Locus type
MRPS35P2	mitochondrial ribosomal protein S35 pseudogene 2	pseudogene
MRPS35P3	mitochondrial ribosomal protein S35 pseudogene 3	pseudogene
MRPS36	mitochondrial ribosomal protein S36	gene with protein product
MRPS36P1	mitochondrial ribosomal protein S36 pseudogene 1	pseudogene
MRPS36P2	mitochondrial ribosomal protein S36 pseudogene 2	pseudogene
MRPS36P3	mitochondrial ribosomal protein S36 pseudogene 3	pseudogene
MRPS36P4	mitochondrial ribosomal protein S36 pseudogene 4	pseudogene
MRPS36P5	mitochondrial ribosomal protein S36 pseudogene 5	pseudogene
MRPS36P6	mitochondrial ribosomal protein S36 pseudogene 6	pseudogene
MRRF	mitochondrial ribosome recycling factor	gene with protein product
MRRFP1	mitochondrial ribosome recycling factor pseudogene 1	pseudogene
MRS	symbol withdrawn, see [HGNC:2761](/data/gene-symbol-report/#!/hgnc_id/HGNC:2761)	unknown
MRS2	magnesium transporter MRS2	gene with protein product
MRS2P1	MRS2 pseudogene 1	pseudogene
MRS2P2	MRS2 pseudogene 2	pseudogene
MRSD	mental retardation-skeletal dysplasia	phenotype only
MRT2A	symbol withdrawn, see [HGNC:30185](/data/gene-symbol-report/#!/hgnc_id/HGNC:30185)	phenotype only
MRT4	mental retardation, non-syndromic, autosomal recessive, 4	phenotype only
MRT5	symbol withdrawn, see [HGNC:25994](/data/gene-symbol-report/#!/hgnc_id/HGNC:25994)	phenotype only
MRT8	mental retardation, non-syndromic, autosomal recessive, 8	phenotype only
MRT9	mental retardation, non-syndromic, autosomal recessive, 9	phenotype only
MRT10	mental retardation, non-syndromic, autosomal recessive, 10	phenotype only
MRT11	mental retardation, non-syndromic, autosomal recessive, 11	phenotype only
MRT12	symbol withdrawn, see [HGNC:10866](/data/gene-symbol-report/#!/hgnc_id/HGNC:10866)	phenotype only
MRT17	symbol withdrawn, see [HGNC:17893](/data/gene-symbol-report/#!/hgnc_id/HGNC:17893)	phenotype only
MRT18	symbol withdrawn, see [HGNC:2372](/data/gene-symbol-report/#!/hgnc_id/HGNC:2372)	phenotype only
MRT19	mental retardation, non-syndromic, autosomal recessive, 19	phenotype only
MRT20	mental retardation, non-syndromic, autosomal recessive, 20	phenotype only
MRT21	symbol withdrawn, see [HGNC:17893](/data/gene-symbol-report/#!/hgnc_id/HGNC:17893)	phenotype only
MRT22	symbol withdrawn, see [HGNC:30242](/data/gene-symbol-report/#!/hgnc_id/HGNC:30242)	phenotype only
MRT23	mental retardation, non-syndromic, autosomal recessive, 23	phenotype only
MRT24	mental retardation, non-syndromic, autosomal recessive, 24	phenotype only
MRT25	mental retardation, non-syndromic, autosomal recessive, 25	phenotype only
MRT26	mental retardation, non-syndromic, autosomal recessive, 26	phenotype only
MRT27	symbol withdrawn, see [HGNC:30922](/data/gene-symbol-report/#!/hgnc_id/HGNC:30922)	phenotype only
MRT28	mental retardation, non-syndromic, autosomal recessive, 28	phenotype only
MRTFA	myocardin related transcription factor A	gene with protein product
MRTFA-AS1	MRTFA antisense RNA 1	RNA, long non-coding
MRTFB	myocardin related transcription factor B	gene with protein product
MRTO4	MRT4 homolog, ribosome maturation factor	gene with protein product
MRVI1	murine retrovirus integration site 1 homolog	gene with protein product
MRVI1-AS1	MRVI1 antisense RNA 1	RNA, long non-coding
MRX1	symbol withdrawn, see [HGNC:29059](/data/gene-symbol-report/#!/hgnc_id/HGNC:29059)	phenotype only
MRX2	symbol withdrawn, see [HGNC:9330](/data/gene-symbol-report/#!/hgnc_id/HGNC:9330)	phenotype only
MRX3	symbol withdrawn, see [HGNC:4839](/data/gene-symbol-report/#!/hgnc_id/HGNC:4839)	phenotype only
MRX4	mental retardation, X-linked 4	phenotype only
MRX5	mental retardation, X-linked 5	phenotype only
MRX6	mental retardation, X-linked 6 (Okinawa type)	phenotype only
MRX7	mental retardation, X-linked 7	phenotype only
MRX8	mental retardation, X-linked 8	phenotype only
MRX9	symbol withdrawn, see [HGNC:13254](/data/gene-symbol-report/#!/hgnc_id/HGNC:13254)	phenotype only
MRX10	symbol withdrawn, see [HGNC:5996](/data/gene-symbol-report/#!/hgnc_id/HGNC:5996)	phenotype only
MRX11	mental retardation, X-linked 11	phenotype only
MRX12	symbol withdrawn, see [HGNC:19073](/data/gene-symbol-report/#!/hgnc_id/HGNC:19073)	phenotype only
MRX13	symbol withdrawn, see [HGNC:11114](/data/gene-symbol-report/#!/hgnc_id/HGNC:11114)	phenotype only
MRX14	mental retardation, X-linked 14	phenotype only
MRX15	mental retardation, X-linked 15	phenotype only
MRX16	symbol withdrawn, see [HGNC:6990](/data/gene-symbol-report/#!/hgnc_id/HGNC:6990)	phenotype only
MRX17	mental retardation, X-linked 17	phenotype only
MRX18	symbol withdrawn, see [HGNC:29059](/data/gene-symbol-report/#!/hgnc_id/HGNC:29059)	phenotype only
MRX19	symbol withdrawn, see [HGNC:10432](/data/gene-symbol-report/#!/hgnc_id/HGNC:10432)	phenotype only
MRX20	mental retardation, X-linked 20	phenotype only
MRX21	symbol withdrawn, see [HGNC:5996](/data/gene-symbol-report/#!/hgnc_id/HGNC:5996)	phenotype only
MRX22	symbol withdrawn, see [HGNC:10923](/data/gene-symbol-report/#!/hgnc_id/HGNC:10923)	phenotype only
MRX23	mental retardation, X-linked 23	phenotype only
MRX24	mental retardation, X-linked 24	phenotype only
MRX25	mental retardation, X-linked 25	phenotype only
MRX26	mental retardation, X-linked 26	phenotype only
MRX27	mental retardation, X-linked 27	phenotype only
MRX28	mental retardation, X-linked 28	phenotype only
MRX29	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRX30	symbol withdrawn, see [HGNC:8592](/data/gene-symbol-report/#!/hgnc_id/HGNC:8592)	unknown
MRX31	mental retardation, X-linked 31	phenotype only
MRX32	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRX33	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRX34	symbol withdrawn, see [HGNC:5996](/data/gene-symbol-report/#!/hgnc_id/HGNC:5996)	phenotype only
MRX35	symbol withdrawn, see [HGNC:19073](/data/gene-symbol-report/#!/hgnc_id/HGNC:19073)	phenotype only
MRX36	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRX37	mental retardation, X-linked 37	phenotype only
MRX38	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRX39	mental retardation, X-linked 39	phenotype only
MRX40	mental retardation, X-linked 40	phenotype only
MRX41	symbol withdrawn, see [HGNC:4226](/data/gene-symbol-report/#!/hgnc_id/HGNC:4226)	unknown
MRX42	mental retardation, X-linked 42	phenotype only
MRX43	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRX44	symbol withdrawn, see [HGNC:13254](/data/gene-symbol-report/#!/hgnc_id/HGNC:13254)	phenotype only
MRX45	symbol withdrawn, see [HGNC:13156](/data/gene-symbol-report/#!/hgnc_id/HGNC:13156)	phenotype only
MRX46	symbol withdrawn, see [HGNC:685](/data/gene-symbol-report/#!/hgnc_id/HGNC:685)	unknown
MRX47	symbol withdrawn, see [HGNC:8592](/data/gene-symbol-report/#!/hgnc_id/HGNC:8592)	phenotype only
MRX48	symbol withdrawn, see [HGNC:4226](/data/gene-symbol-report/#!/hgnc_id/HGNC:4226)	unknown
MRX49	mental retardation, X-linked 49	phenotype only
MRX50	symbol withdrawn, see [HGNC:11494](/data/gene-symbol-report/#!/hgnc_id/HGNC:11494)	phenotype only
MRX51	mental retardation, X-linked 51	phenotype only
MRX52	symbol withdrawn, see [HGNC:886](/data/gene-symbol-report/#!/hgnc_id/HGNC:886)	phenotype only
MRX53	mental retardation, X-linked 53	phenotype only
MRX54	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRX55	symbol withdrawn, see [HGNC:9330](/data/gene-symbol-report/#!/hgnc_id/HGNC:9330)	phenotype only
MRX56	mental retardation, X-linked 56	phenotype only
MRX57	mental retardation, X-linked 57	phenotype only
MRX58	symbol withdrawn, see [HGNC:11854](/data/gene-symbol-report/#!/hgnc_id/HGNC:11854)	phenotype only
MRX59	symbol withdrawn, see [HGNC:560](/data/gene-symbol-report/#!/hgnc_id/HGNC:560)	phenotype only
MRX60	symbol withdrawn, see [HGNC:8148](/data/gene-symbol-report/#!/hgnc_id/HGNC:8148)	phenotype only
MRX61	mental retardation, X-linked 61	phenotype only
MRX62	symbol withdrawn, see [HGNC:20439](/data/gene-symbol-report/#!/hgnc_id/HGNC:20439)	phenotype only
MRX63	symbol withdrawn, see [HGNC:3571](/data/gene-symbol-report/#!/hgnc_id/HGNC:3571)	phenotype only
MRX64	mental retardation, X-linked 64	phenotype only
MRX65	symbol withdrawn, see [HGNC:13128](/data/gene-symbol-report/#!/hgnc_id/HGNC:13128)	phenotype only
MRX66	mental retardation, X-linked 66	phenotype only
MRX67	mental retardation, X-linked 67	phenotype only
MRX68	symbol withdrawn, see [HGNC:3571](/data/gene-symbol-report/#!/hgnc_id/HGNC:3571)	phenotype only
MRX69	mental retardation, X-linked 69	phenotype only
MRX70	mental retardation, X-linked 70	phenotype only
MRX71	mental retardation, X-linked 71	phenotype only
MRX72	symbol withdrawn, see [HGNC:16499](/data/gene-symbol-report/#!/hgnc_id/HGNC:16499)	phenotype only
MRX73	mental retardation, X-linked 73	phenotype only
MRX74	symbol withdrawn, see [HGNC:26233](/data/gene-symbol-report/#!/hgnc_id/HGNC:26233)	phenotype only
MRX75	mental retardation, X-linked 75	phenotype only
MRX76	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRX77	mental retardation, X-linked 77	phenotype only
MRX78	symbol withdrawn, see [HGNC:29059](/data/gene-symbol-report/#!/hgnc_id/HGNC:29059)	phenotype only
MRX79	symbol withdrawn, see [HGNC:6990](/data/gene-symbol-report/#!/hgnc_id/HGNC:6990)	phenotype only
MRX80	mental retardation, X-linked 80	phenotype only
MRX81	mental retardation, X-linked 81	phenotype only
MRX82	mental retardation, X-linked 82	phenotype only
MRX84	mental retardation, X-linked 84	phenotype only
MRX85	symbol withdrawn, see [HGNC:2928](/data/gene-symbol-report/#!/hgnc_id/HGNC:2928)	phenotype only
MRX86	mental retardation, X-linked 86	phenotype only
MRX87	symbol withdrawn, see [HGNC:18060](/data/gene-symbol-report/#!/hgnc_id/HGNC:18060)	phenotype only
MRXS5	symbol withdrawn, see [HGNC:560](/data/gene-symbol-report/#!/hgnc_id/HGNC:560)	phenotype only
MRXS7	mental retardation, X-linked, syndromic 7	phenotype only
MRXS10	symbol withdrawn, see [HGNC:4800](/data/gene-symbol-report/#!/hgnc_id/HGNC:4800)	phenotype only
MRXS11	mental retardation, X-linked, syndromic 11	phenotype only
MS	multiple sclerosis	phenotype only
MS4A1	membrane spanning 4-domains A1	gene with protein product
MS4A2	membrane spanning 4-domains A2	gene with protein product
MS4A3	membrane spanning 4-domains A3	gene with protein product
MS4A4A	membrane spanning 4-domains A4A	gene with protein product
MS4A4E	membrane spanning 4-domains A4E	gene with protein product
MS4A5	membrane spanning 4-domains A5	gene with protein product
MS4A6A	membrane spanning 4-domains A6A	gene with protein product
MS4A6E	membrane spanning 4-domains A6E	gene with protein product
MS4A7	membrane spanning 4-domains A7	gene with protein product
MS4A8	membrane spanning 4-domains A8	gene with protein product
MS4A10	membrane spanning 4-domains A10	gene with protein product
MS4A12	membrane spanning 4-domains A12	gene with protein product
MS4A13	membrane spanning 4-domains A13	gene with protein product
MS4A14	membrane spanning 4-domains A14	gene with protein product
MS4A15	membrane spanning 4-domains A15	gene with protein product
MS4A18	membrane spanning 4-domains A18	gene with protein product
MSANTD1	Myb/SANT DNA binding domain containing 1	gene with protein product
MSANTD2	Myb/SANT DNA binding domain containing 2	gene with protein product
MSANTD2P1	Myb/SANT DNA binding domain containing 2 pseudogene 1	pseudogene
MSANTD3	Myb/SANT DNA binding domain containing 3	gene with protein product
MSANTD3-TMEFF1	MSANTD3-TMEFF1 readthrough	readthrough
MSANTD4	Myb/SANT DNA binding domain containing 4 with coiled-coils	gene with protein product
MSBP1	minisatellite binding protein 1	unknown
MSBP2	minisatellite binding protein 2	unknown
MSBP3	symbol withdrawn, see [HGNC:13994](/data/gene-symbol-report/#!/hgnc_id/HGNC:13994)	unknown
MSC	musculin	gene with protein product
MSC-AS1	MSC antisense RNA 1	RNA, long non-coding
MSD	microcephaly with spastic diplegia (Paine syndrome)	phenotype only
MSG1	symbol withdrawn, see [HGNC:1986](/data/gene-symbol-report/#!/hgnc_id/HGNC:1986)	unknown
MSGN1	mesogenin 1	gene with protein product
MSH2	mutS homolog 2	gene with protein product
MSH2-OT1	MSH2 overlapping transcript 1	RNA, long non-coding
MSH3	mutS homolog 3	gene with protein product
MSH4	mutS homolog 4	gene with protein product
MSH5	mutS homolog 5	gene with protein product
MSH5-SAPCD1	MSH5-SAPCD1 readthrough (NMD candidate)	readthrough
MSH6	mutS homolog 6	gene with protein product
MSI1	musashi RNA binding protein 1	gene with protein product
MSI2	musashi RNA binding protein 2	gene with protein product
MSK1	antigen identified by monoclonal antibody AJ9	unknown
MSK2	antigen identified by monoclonal antibody T87	unknown
MSK3	antigen identified by monoclonal antibody M68	unknown
MSK4	antigen identified by monoclonal antibody A123/A127	unknown
MSK7	antigen identified by monoclonal antibody VI	unknown
MSK8	symbol withdrawn, see [HGNC:6150](/data/gene-symbol-report/#!/hgnc_id/HGNC:6150)	unknown
MSK9	antigen identified by monoclonal antibody K15	unknown
MSK10	antigen identified by monoclonal antibody AJ425	unknown
MSK11	antigen identified by monoclonal antibody SR84	unknown
MSK12	symbol withdrawn, see [HGNC:6153](/data/gene-symbol-report/#!/hgnc_id/HGNC:6153)	unknown
MSK13	antigen identified by monoclonal antibody Q14	unknown
MSK14	antigen identified by monoclonal antibody JF23	unknown
MSK15	antigen identified by monoclonal antibody SV13	unknown
MSK16	symbol withdrawn, see [HGNC:319](/data/gene-symbol-report/#!/hgnc_id/HGNC:319)	unknown
MSK17	antigen identified by monoclonal antibody F23	unknown
MSK18	symbol withdrawn, see [HGNC:6139](/data/gene-symbol-report/#!/hgnc_id/HGNC:6139)	unknown
MSK19	antigen identified by monoclonal antibody F8 (glycoprotein 95kDa)	unknown
MSK20	antigen identified by monoclonal antibody F10 (glycoprotein 50kDa)	unknown
MSK21	symbol withdrawn, see [HGNC:1689](/data/gene-symbol-report/#!/hgnc_id/HGNC:1689)	unknown
MSK22	antigen identified by monoclonal antibody A124	unknown
MSK23	antigen identified by monoclonal antibody T43	unknown
MSK24	antigen identified by monoclonal antibody NP13	unknown
MSK25	antigen identified by monoclonal antibody MC139	unknown
MSK26	antigen identified by monoclonal antibody K117	unknown
MSK27	antigen identified by monoclonal antibody MG6	unknown
MSK28	antigen identified by monoclonal antibody MG2	unknown
MSK29	antigen identified by monoclonal antibody A42	unknown
MSK30	antigen identified by monoclonal antibody A42	unknown
MSK31	antigen identified by monoclonal antibody SR75	unknown
MSK32	antigen identified by monoclonal antibody K66	unknown
MSK33	antigen identified by monoclonal antibody SR3	unknown
MSK34	antigen identified by monoclonal antibody CNT/6	unknown
MSK35	antigen identified by monoclonal antibody SR27	unknown
MSK36	antigen identified by monoclonal antibody CNT/11	unknown
MSK37	antigen identified by monoclonal antibody S7	unknown
MSK38	antigen identified by monoclonal antibody O5	unknown
MSK39	antigen recognized by monoclonal antibody 5.1H11	unknown
MSK40	antigen identified by monoclonal antibody F35/9	unknown
MSK41	antigen identified by monoclonal antibody E3	unknown
MSL1	MSL complex subunit 1	gene with protein product
MSL2	MSL complex subunit 2	gene with protein product
MSL3	MSL complex subunit 3	gene with protein product
MSL3P1	MSL complex subunit 3 pseudogene 1	pseudogene
MSLN	mesothelin	gene with protein product
MSLNL	mesothelin like	unknown
MSMB	microseminoprotein beta	gene with protein product
MSMO1	methylsterol monooxygenase 1	gene with protein product
MSMP	microseminoprotein, prostate associated	gene with protein product
MSN	moesin	gene with protein product
MSNL2	moesin-like 2	gene with protein product
MSNP1	moesin pseudogene 1	pseudogene
MSR1	macrophage scavenger receptor 1	gene with protein product
MSRA	methionine sulfoxide reductase A	gene with protein product
MSRB1	methionine sulfoxide reductase B1	gene with protein product
MSRB1P1	methionine sulfoxide reductase B1 pseudogene 1	pseudogene
MSRB2	methionine sulfoxide reductase B2	gene with protein product
MSRB3	methionine sulfoxide reductase B3	gene with protein product
MSS	symbol withdrawn, see [HGNC:24624](/data/gene-symbol-report/#!/hgnc_id/HGNC:24624)	phenotype only
MSS51	MSS51 mitochondrial translational activator	gene with protein product
MSSE	symbol withdrawn, see [HGNC:11772](/data/gene-symbol-report/#!/hgnc_id/HGNC:11772)	phenotype only
MST1	macrophage stimulating 1	gene with protein product
MST1L	macrophage stimulating 1 like	unknown
MST1P2	macrophage stimulating 1 pseudogene 2	pseudogene
MST1P7	symbol withdrawn, see [HGNC:7390](/data/gene-symbol-report/#!/hgnc_id/HGNC:7390)	pseudogene
MST1R	macrophage stimulating 1 receptor	gene with protein product
MSTN	myostatin	gene with protein product
MSTO1	misato mitochondrial distribution and morphology regulator 1	gene with protein product
MSTO2P	misato family member 2, pseudogene	pseudogene
MSX1	msh homeobox 1	gene with protein product
MSX2	msh homeobox 2	gene with protein product
MSX2P1	msh homeobox 2 pseudogene 1	pseudogene
MT-7SDNA	mitochondrially encoded 7S DNA	region
MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6	gene with protein product
MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8	gene with protein product
MT-ATT	mitochondrially encoded membrane attachment site	region
MT-CO1	mitochondrially encoded cytochrome c oxidase I	gene with protein product
MT-CO2	mitochondrially encoded cytochrome c oxidase II	gene with protein product
MT-CO3	mitochondrially encoded cytochrome c oxidase III	gene with protein product
MT-CSB1	mitochondrially encoded conserved sequence block I	region
MT-CSB2	mitochondrially encoded conserved sequence block II	region
MT-CSB3	mitochondrially encoded conserved sequence block III	region
MT-CYB	mitochondrially encoded cytochrome b	gene with protein product
MT-HPR	mitochondrially encoded replication primer	region
MT-HSP1	mitochondrially encoded major H-strand promoter	region
MT-HSP2	mitochondrially encoded minor H-strand promoter	region
MT-LIPCAR	mitochondrially encoded long non-coding cardiac associated RNA	RNA, long non-coding
MT-LSP	mitochondrially encoded L-strand promoter	region
MT-ND1	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1	gene with protein product
MT-ND2	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 2	gene with protein product
MT-ND3	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 3	gene with protein product
MT-ND4	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4	gene with protein product
MT-ND4L	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4L	gene with protein product
MT-ND5	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5	gene with protein product
MT-ND6	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6	gene with protein product
MT-OHR	mitochondrially encoded heavy strand origin of replication	region
MT-OLR	mitochondrially encoded light strand origin of replication	region
MT-RNR1	mitochondrially encoded 12S rRNA	RNA, ribosomal
MT-RNR2	mitochondrially encoded 16S rRNA	RNA, ribosomal
MT-RNR3	mitochondrially encoded 5S-like sequence	region
MT-TA	mitochondrially encoded tRNA-Ala (GCN)	RNA, transfer
MT-TAS	mitochondrially encoded termination associated sequence	region
MT-TC	mitochondrially encoded tRNA-Cys (UGU/C)	RNA, transfer
MT-TD	mitochondrially encoded tRNA-Asp (GAU/C)	RNA, transfer
MT-TE	mitochondrially encoded tRNA-Glu (GAA/G)	RNA, transfer
MT-TER	mitochondrially encoded transcription terminator	region
MT-TF	mitochondrially encoded tRNA-Phe (UUU/C)	RNA, transfer
MT-TFH	mitochondrially encoded transcription factor binding site H	region
MT-TFL	mitochondrially encoded transcription factor binding site L	region
MT-TFX	mitochondrially encoded transcription factor binding site X	region
MT-TFY	mitochondrially encoded transcription factor binding site Y	region
MT-TG	mitochondrially encoded tRNA-Gly (GGN)	RNA, transfer
MT-TH	mitochondrially encoded tRNA-His (CAU/C)	RNA, transfer
MT-TI	mitochondrially encoded tRNA-Ile (AUU/C)	RNA, transfer
MT-TK	mitochondrially encoded tRNA-Lys (AAA/G)	RNA, transfer
MT-TL1	mitochondrially encoded tRNA-Leu (UUA/G) 1	RNA, transfer
MT-TL2	mitochondrially encoded tRNA-Leu (CUN) 2	RNA, transfer
MT-TM	mitochondrially encoded tRNA-Met (AUA/G)	RNA, transfer
MT-TN	mitochondrially encoded tRNA-Asn (AAU/C)	RNA, transfer
MT-TP	mitochondrially encoded tRNA-Pro (CCN)	RNA, transfer
MT-TQ	mitochondrially encoded tRNA-Gln (CAA/G)	RNA, transfer
MT-TR	mitochondrially encoded tRNA-Arg (CGN)	RNA, transfer
MT-TS1	mitochondrially encoded tRNA-Ser (UCN) 1	RNA, transfer
MT-TS2	mitochondrially encoded tRNA-Ser (AGU/C) 2	RNA, transfer
MT-TT	mitochondrially encoded tRNA-Thr (ACN)	RNA, transfer
MT-TV	mitochondrially encoded tRNA-Val (GUN)	RNA, transfer
MT-TW	mitochondrially encoded tRNA-Trp (UGA/G)	RNA, transfer
MT-TY	mitochondrially encoded tRNA-Tyr (UAU/C)	RNA, transfer
MT1A	metallothionein 1A	gene with protein product
MT1B	metallothionein 1B	gene with protein product
MT1CP	metallothionein 1C, pseudogene	pseudogene
MT1DP	metallothionein 1D, pseudogene	pseudogene
MT1E	metallothionein 1E	gene with protein product
MT1F	metallothionein 1F	gene with protein product
MT1G	metallothionein 1G	gene with protein product
MT1H	metallothionein 1H	gene with protein product
MT1HL1	metallothionein 1H like 1	gene with protein product
MT1IP	metallothionein 1I, pseudogene	pseudogene
MT1JP	metallothionein 1J, pseudogene	pseudogene
MT1K	symbol withdrawn, see [HGNC:14296](/data/gene-symbol-report/#!/hgnc_id/HGNC:14296)	gene with protein product
MT1L	metallothionein 1L, pseudogene	pseudogene
MT1M	metallothionein 1M	gene with protein product
MT1NP	symbol withdrawn, see [HGNC:7402](/data/gene-symbol-report/#!/hgnc_id/HGNC:7402)	pseudogene
MT1P1	metallothionein 1 pseudogene 1	pseudogene
MT1P3	metallothionein 1 pseudogene 3	pseudogene
MT1Q	symbol withdrawn, see [HGNC:7394](/data/gene-symbol-report/#!/hgnc_id/HGNC:7394)	unknown
MT1S	symbol withdrawn, see [HGNC:7393](/data/gene-symbol-report/#!/hgnc_id/HGNC:7393)	unknown
MT1X	metallothionein 1X	gene with protein product
MT1XP1	metallothionein 1X pseudogene 1	pseudogene
MT2A	metallothionein 2A	gene with protein product
MT2P1	metallothionein 2 pseudogene 1	pseudogene
MT3	metallothionein 3	gene with protein product
MT4	metallothionein 4	gene with protein product
MTA1	metastasis associated 1	gene with protein product
MTA2	metastasis associated 1 family member 2	gene with protein product
MTA3	metastasis associated 1 family member 3	gene with protein product
MTA3P1	MTA3 pseudogene 1	pseudogene
MTACR1	symbol withdrawn, see [HGNC:12797](/data/gene-symbol-report/#!/hgnc_id/HGNC:12797)	unknown
MTAP	methylthioadenosine phosphorylase	gene with protein product
MTAPP1	methylthioadenosine phosphorylase pseudogene 1	pseudogene
MTAPP2	methylthioadenosine phosphorylase pseudogene 2	pseudogene
MTARC1	mitochondrial amidoxime reducing component 1	gene with protein product
MTARC2	mitochondrial amidoxime reducing component 2	gene with protein product
MTATP6P1	MT-ATP6 pseudogene 1	pseudogene
MTATP6P2	MT-ATP6 pseudogene 2	pseudogene
MTATP6P3	MT-ATP6 pseudogene 3	pseudogene
MTATP6P4	MT-ATP6 pseudogene 4	pseudogene
MTATP6P5	MT-ATP6 pseudogene 5	pseudogene
MTATP6P6	MT-ATP6 pseudogene 6	pseudogene
MTATP6P7	MT-ATP6 pseudogene 7	pseudogene
MTATP6P8	MT-ATP6 pseudogene 8	pseudogene
MTATP6P9	MT-ATP6 pseudogene 9	pseudogene
MTATP6P10	MT-ATP6 pseudogene 10	pseudogene
MTATP6P11	MT-ATP6 pseudogene 11	pseudogene
MTATP6P12	MT-ATP6 pseudogene 12	pseudogene
MTATP6P13	MT-ATP6 pseudogene 13	pseudogene
MTATP6P14	MT-ATP6 pseudogene 14	pseudogene
MTATP6P15	MT-ATP6 pseudogene 15	pseudogene
MTATP6P16	MT-ATP6 pseudogene 16	pseudogene
MTATP6P17	MT-ATP6 pseudogene 17	pseudogene
MTATP6P18	MT-ATP6 pseudogene 18	pseudogene
MTATP6P19	MT-ATP6 pseudogene 19	pseudogene
MTATP6P20	MT-ATP6 pseudogene 20	pseudogene
MTATP6P21	MT-ATP6 pseudogene 21	pseudogene
MTATP6P22	MT-ATP6 pseudogene 22	pseudogene
MTATP6P23	MT-ATP6 pseudogene 23	pseudogene
MTATP6P24	MT-ATP6 pseudogene 24	pseudogene
MTATP6P25	MT-ATP6 pseudogene 25	pseudogene
MTATP6P26	MT-ATP6 pseudogene 26	pseudogene
MTATP6P27	MT-ATP6 pseudogene 27	pseudogene
MTATP6P28	MT-ATP6 pseudogene 28	pseudogene
MTATP6P29	MT-ATP6 pseudogene 29	pseudogene
MTATP6P30	MT-ATP6 pseudogene 30	pseudogene
MTATP6P31	MT-ATP6 pseudogene 31	pseudogene
MTATP8P1	MT-ATP8 pseudogene 1	pseudogene
MTATP8P2	MT-ATP8 pseudogene 2	pseudogene
MTATP8P3	MT-ATP8 pseudogene 3	pseudogene
MTATP8P4	MT-ATP8 pseudogene 4	pseudogene
MTBP	MDM2 binding protein	gene with protein product
MTC1	symbol withdrawn, see [HGNC:9967](/data/gene-symbol-report/#!/hgnc_id/HGNC:9967)	unknown
MTCH1	mitochondrial carrier 1	gene with protein product
MTCH2	mitochondrial carrier 2	gene with protein product
MTCL1	microtubule crosslinking factor 1	gene with protein product
MTCL1P1	MTCL1 pseudogene 1	pseudogene
MTCO1P1	MT-CO1 pseudogene 1	pseudogene
MTCO1P2	MT-CO1 pseudogene 2	pseudogene
MTCO1P3	MT-CO1 pseudogene 3	pseudogene
MTCO1P4	MT-CO1 pseudogene 4	pseudogene
MTCO1P5	MT-CO1 pseudogene 5	pseudogene
MTCO1P6	MT-CO1 pseudogene 6	pseudogene
MTCO1P7	MT-CO1 pseudogene 7	pseudogene
MTCO1P8	MT-CO1 pseudogene 8	pseudogene
MTCO1P9	MT-CO1 pseudogene 9	pseudogene
MTCO1P10	MT-CO1 pseudogene 10	pseudogene
MTCO1P11	MT-CO1 pseudogene 11	pseudogene
MTCO1P12	MT-CO1 pseudogene 12	pseudogene
MTCO1P13	MT-CO1 pseudogene 13	pseudogene
MTCO1P14	MT-CO1 pseudogene 14	pseudogene
MTCO1P15	MT-CO1 pseudogene 15	pseudogene
MTCO1P16	MT-CO1 pseudogene 16	pseudogene
MTCO1P17	MT-CO1 pseudogene 17	pseudogene
MTCO1P18	MT-CO1 pseudogene 18	pseudogene
MTCO1P19	MT-CO1 pseudogene 19	pseudogene
MTCO1P20	MT-CO1 pseudogene 20	pseudogene
MTCO1P21	MT-CO1 pseudogene 21	pseudogene
MTCO1P22	MT-CO1 pseudogene 22	pseudogene
MTCO1P23	MT-CO1 pseudogene 23	pseudogene
MTCO1P24	MT-CO1 pseudogene 24	pseudogene
MTCO1P25	MT-CO1 pseudogene 25	pseudogene
MTCO1P26	MT-CO1 pseudogene 26	pseudogene
MTCO1P27	MT-CO1 pseudogene 27	pseudogene
MTCO1P28	MT-CO1 pseudogene 28	pseudogene
